Date,Close
1/2/18,69.52
1/3/18,71.33
1/4/18,73.1
1/5/18,73.6
1/8/18,74.8
1/9/18,74.9
1/10/18,75.6
1/11/18,77.05
1/12/18,77.97
1/16/18,77.17
1/17/18,77.21
1/18/18,76.37
1/19/18,76.42
1/22/18,79.79
1/23/18,79.21
1/24/18,78.18
1/25/18,77.33
1/26/18,77.61
1/29/18,76.38
1/30/18,74.54
1/31/18,73.58
2/1/18,75.51
2/2/18,73.69
2/5/18,71.35
2/6/18,71.04
2/7/18,69.75
2/8/18,67.4
2/9/18,65.19
2/12/18,66.84
2/13/18,65.92
2/14/18,65.87
2/15/18,66.21
2/16/18,66.28
2/20/18,65.61
2/21/18,64.4
2/22/18,64.96
2/23/18,66.5
2/26/18,66.73
2/27/18,66.91
2/28/18,65.64
3/1/18,65.22
3/2/18,65.47
3/5/18,66.16
3/6/18,66.63
3/7/18,66.23
3/8/18,66.74
3/9/18,68.78
3/12/18,68.09
3/13/18,67.14
3/14/18,66.43
3/15/18,65.35
3/16/18,66.1
3/19/18,64.7
3/20/18,65.56
3/21/18,67.74
3/22/18,65.52
3/23/18,64.14
3/26/18,64.46
3/27/18,64.48
3/28/18,63.21
3/29/18,64.78
4/2/18,63.48
4/3/18,64.79
4/4/18,64.81
4/5/18,65.77
4/6/18,64.36
4/9/18,64.26
4/10/18,66.71
4/11/18,67.55
4/12/18,67.56
4/13/18,67.95
4/16/18,68.52
4/17/18,68.66
4/18/18,70.34
4/19/18,70.28
4/20/18,69.23
4/23/18,68.91
4/24/18,68.28
4/25/18,69.1
4/26/18,69.47
4/27/18,69.08
4/30/18,68.56
5/1/18,68.4
5/2/18,68.66
5/3/18,67.72
5/4/18,68.79
5/7/18,69.21
5/8/18,69.54
5/9/18,70.88
5/10/18,71.12
5/11/18,71.08
5/14/18,71.6
5/15/18,71.6
5/16/18,73.11
5/17/18,74.43
5/18/18,74.29
5/21/18,75.03
5/22/18,73.73
5/23/18,73.45
5/24/18,71.22
5/25/18,68.6
5/29/18,68.07
5/30/18,69.48
5/31/18,69.48
6/1/18,68.96
6/4/18,69.07
6/5/18,68.46
6/6/18,68.89
6/7/18,69.6
6/8/18,69.43
6/11/18,69.87
6/12/18,68.6
6/13/18,67.97
6/14/18,68.33
6/15/18,66.83
6/18/18,67.04
6/19/18,65.7
6/20/18,65.55
6/21/18,64.79
6/22/18,66.58
6/25/18,65.43
6/26/18,66.02
6/27/18,66.81
6/28/18,67.01
6/29/18,67.03
7/2/18,65.21
7/3/18,65.84
7/5/18,66.43
7/6/18,67.03
7/9/18,68.34
7/10/18,69.49
7/11/18,68.34
7/12/18,67.47
7/13/18,68.08
7/16/18,67.42
7/17/18,66.74
7/18/18,67.06
7/19/18,66.92
7/20/18,66.09
7/23/18,65.74
7/24/18,65.52
7/25/18,65.78
7/26/18,66.86
7/27/18,67.04
7/30/18,67.58
7/31/18,67.52
8/1/18,66.66
8/2/18,65.94
8/3/18,65.89
8/6/18,65.74
8/7/18,66.68
8/8/18,66.41
8/9/18,65.4
8/10/18,66.04
8/13/18,64.97
8/14/18,64.8
8/15/18,62.29
8/16/18,62.49
8/17/18,62.83
8/20/18,63.5
8/21/18,64.76
8/22/18,65.09
8/23/18,64.65
8/24/18,65.25
8/27/18,64.85
8/28/18,64.07
8/29/18,64.49
8/30/18,64.34
8/31/18,63.16
9/4/18,61.92
9/5/18,61.02
9/6/18,60.21
9/7/18,59.7
9/10/18,59.98
9/11/18,60.32
9/12/18,60.82
9/13/18,61.02
9/14/18,61.23
9/17/18,60.97
9/18/18,60.99
9/19/18,61.23
9/20/18,61.57
9/21/18,61.13
9/24/18,61.6
9/25/18,62.53
9/26/18,60.88
9/27/18,61.17
9/28/18,60.92
10/1/18,61.59
10/2/18,61.89
10/3/18,62.62
10/4/18,62.85
10/5/18,63
10/8/18,62.94
10/9/18,63.11
10/10/18,60.82
10/11/18,59.12
10/12/18,59.33
10/15/18,59.55
10/16/18,59.68
10/17/18,59.24
10/18/18,58.43
10/19/18,58.47
10/22/18,56.81
10/23/18,55.09
10/24/18,53.01
10/25/18,53.3
10/26/18,52.9
10/29/18,51.45
10/30/18,52.32
10/31/18,51.31
11/1/18,51.66
11/2/18,51.4
11/5/18,51.96
11/6/18,52.08
11/7/18,52.32
11/8/18,51.58
11/9/18,50.4
