Date,Close
1/2/18,87.21
1/3/18,88.37
1/4/18,87.35
1/5/18,87.04
1/8/18,85.31
1/9/18,87.49
1/10/18,88.59
1/11/18,89.14
1/12/18,89.62
1/16/18,86.84
1/17/18,88.02
1/18/18,87.89
1/19/18,88.92
1/22/18,93.89
1/23/18,95.82
1/24/18,94.34
1/25/18,95.41
1/26/18,96.19
1/29/18,97.03
1/30/18,95.03
1/31/18,93.37
2/1/18,93.61
2/2/18,91.89
2/5/18,88.34
2/6/18,91.05
2/7/18,91.42
2/8/18,86.82
2/9/18,87.02
2/12/18,88.79
2/13/18,89.31
2/14/18,91.65
2/15/18,92.73
2/16/18,92.47
2/20/18,90.83
2/21/18,91.05
2/22/18,91.17
2/23/18,92.54
2/26/18,93.19
2/27/18,92.09
2/28/18,90.36
3/1/18,89.52
3/2/18,91.96
3/5/18,93.38
3/6/18,93.65
3/7/18,94.83
3/8/18,94.99
3/9/18,96.45
3/12/18,96.98
3/13/18,95.94
3/14/18,95.52
3/15/18,94.03
3/16/18,93.57
3/19/18,91.89
3/20/18,92.11
3/21/18,93.04
3/22/18,90.26
3/23/18,88.6
3/26/18,91.05
3/27/18,87.16
3/28/18,87.01
3/29/18,87.73
4/2/18,83.85
4/3/18,84.35
4/4/18,87.22
4/5/18,85.47
4/6/18,82.9
4/9/18,85.11
4/10/18,88.47
4/11/18,89.15
4/12/18,90.45
4/13/18,89.58
4/16/18,88.9
4/17/18,91.12
4/18/18,90.74
4/19/18,89.21
4/20/18,88.93
4/23/18,88.06
4/24/18,86.45
4/25/18,86.35
4/26/18,87.84
4/27/18,88.42
4/30/18,86.98
5/1/18,87.91
5/2/18,87.45
5/3/18,85.92
5/4/18,87.37
5/7/18,88.5
5/8/18,88.07
5/9/18,89.8
5/10/18,89.04
5/11/18,91.65
5/14/18,92.82
5/15/18,92.28
5/16/18,93.46
5/17/18,93.78
5/18/18,93.57
5/21/18,91.78
5/22/18,92.21
5/23/18,92.44
5/24/18,92.73
5/25/18,93
5/29/18,92.47
5/30/18,94.16
5/31/18,94.67
6/1/18,96.65
6/4/18,96.44
6/5/18,97.17
6/6/18,97.77
6/7/18,96.55
6/8/18,96.3
6/11/18,95.92
6/12/18,96.93
6/13/18,97.18
6/14/18,97.59
6/15/18,97.18
6/18/18,97.45
6/19/18,98.85
6/20/18,101.15
6/21/18,99.06
6/22/18,99.08
6/25/18,96.4
6/26/18,96.73
6/27/18,93.62
6/28/18,94.17
6/29/18,95.19
7/2/18,96.29
7/3/18,97.01
7/5/18,97.49
7/6/18,100.25
7/9/18,100.09
7/10/18,99.64
7/11/18,99.73
7/12/18,100.84
7/13/18,100.56
7/16/18,98.92
7/17/18,100.35
7/18/18,100.13
7/19/18,100.4
7/20/18,100.13
7/23/18,99.81
7/24/18,97.75
7/25/18,97.72
7/26/18,97.64
7/27/18,94.97
7/30/18,93.42
7/31/18,95.29
8/1/18,95.37
8/2/18,95.98
8/3/18,94.71
8/6/18,94.89
8/7/18,95.95
8/8/18,95.41
8/9/18,95.25
8/10/18,94.95
8/13/18,94.5
8/14/18,94.89
8/15/18,93.08
8/16/18,93.92
8/17/18,93.99
8/20/18,93.3
8/21/18,95.13
8/22/18,96.7
8/23/18,96.03
8/24/18,96.4
8/27/18,98
8/28/18,98.66
8/29/18,99.55
8/30/18,99.93
8/31/18,100.14
9/4/18,100.01
9/5/18,99.24
9/6/18,96.69
9/7/18,96.41
9/10/18,96.56
9/11/18,96.54
9/12/18,96.23
9/13/18,95.9
9/14/18,95.83
9/17/18,94.3
9/18/18,95.45
9/19/18,95.57
9/20/18,97.16
9/21/18,95.54
9/24/18,96.62
9/25/18,96.9
9/26/18,96.12
9/27/18,95.99
9/28/18,95.87
10/1/18,94.59
10/2/18,93.2
10/3/18,94.9
10/4/18,91.84
10/5/18,90.45
10/8/18,89.5
10/9/18,88.41
10/10/18,85.44
10/11/18,84.41
10/12/18,86.1
10/15/18,84.94
10/16/18,89.45
10/17/18,89.3
10/18/18,87.54
10/19/18,85.42
10/22/18,83.49
10/23/18,83.42
10/24/18,77.28
10/25/18,80.44
10/26/18,80.42
10/29/18,77.92
10/30/18,78.36
10/31/18,79.11
11/1/18,83.74
11/2/18,83.96
11/5/18,83.51
11/6/18,83.24
11/7/18,85.34
11/8/18,84.21
11/9/18,80.78
11/12/18,77.66
11/13/18,77.28
11/14/18,74.93
11/15/18,77.55
11/16/18,79.52
11/19/18,76.91
11/20/18,76.45
11/21/18,77.87
11/23/18,78.09
11/26/18,79.89
11/27/18,77.97
11/28/18,80.93
11/29/18,80.45
11/30/18,81.65
12/3/18,84.63
12/4/18,80.46
12/6/18,80.7
12/7/18,78.19
12/10/18,79.13
12/11/18,78.87
12/12/18,80.08
12/13/18,77.87
12/14/18,76.79
12/17/18,75.05
12/18/18,73.65
12/19/18,71.16
12/20/18,68.66
12/21/18,65.74
12/24/18,65.42
12/26/18,70.26
12/27/18,69.58
12/28/18,70.09
12/31/18,71.75
1/2/19,72.86
1/3/19,71.21
1/4/19,75.02
1/7/19,79.5
1/8/19,80.48
1/9/19,80.82
1/10/19,82.16
1/11/19,82
1/14/19,80.12
1/15/19,82.2
1/16/19,81.91
1/17/19,82.4
1/18/19,83.38
1/22/19,80.86
1/23/19,79.78
1/24/19,80.55
1/25/19,82.37
1/28/19,80.03
1/29/19,80.07
1/30/19,82.29
1/31/19,83.6
2/1/19,83.99
2/4/19,84.34
2/5/19,83.8
2/6/19,84.28
2/7/19,81.99
2/8/19,82.68
2/11/19,83.08
2/12/19,84.42
2/13/19,84.43
2/14/19,84.78
2/15/19,86.59
2/19/19,85.64
2/20/19,85.3
2/21/19,84.09
2/22/19,85.74
2/25/19,89.53
2/26/19,88.83
2/27/19,90.28
2/28/19,89.14
3/1/19,91.81
3/4/19,90.9
3/5/19,90.22
3/6/19,86.53
3/7/19,86.56
3/8/19,86.46
3/11/19,89.04
3/12/19,89.97
3/13/19,91.69
3/14/19,90.57
3/15/19,91.27
3/18/19,91.56
3/19/19,91.24
3/20/19,90.33
3/21/19,91.92
3/22/19,87.86
3/25/19,87.99
3/26/19,89.72
3/27/19,87.76
3/28/19,88.89
3/29/19,90.54
4/1/19,90.43
4/2/19,91.73
4/3/19,92.68
4/4/19,91.91
4/5/19,93.8
4/8/19,93.17
4/9/19,91.45
4/10/19,92.8
4/11/19,90.85
4/12/19,89.9
4/15/19,89.1
4/16/19,88.99
4/17/19,84.83
4/18/19,84.63
4/22/19,84.52
4/23/19,86.92
4/24/19,85.86
4/25/19,86.25
4/26/19,87.24
4/29/19,86.68
4/30/19,85.2
5/1/19,83.64
5/2/19,84.58
5/3/19,86.21
5/6/19,87.66
5/7/19,84.77
5/8/19,84.49
5/9/19,84.32
5/10/19,83.92
5/13/19,80.41
5/14/19,81.77
5/15/19,82.46
5/16/19,83.49
5/17/19,82.56
5/20/19,80.77
5/21/19,83.27
5/22/19,82.68
5/23/19,81.85
5/24/19,82.91
5/28/19,82.03
5/29/19,81.27
5/30/19,80.83
5/31/19,79.44
6/3/19,80.36
6/4/19,82.54
6/5/19,82.62
6/6/19,81.36
6/7/19,82.84
6/10/19,82.09
6/11/19,81.18
6/12/19,81.72
6/13/19,83.02
6/14/19,81.49
6/17/19,85.35
6/18/19,86.96
6/19/19,86.99
6/20/19,86.97
6/21/19,87.26
6/24/19,84.73
6/25/19,84.41
6/26/19,83.8
6/27/19,85.95
6/28/19,87.71
7/1/19,88.25
7/2/19,87.62
7/3/19,88.89
7/5/19,87.21
7/8/19,85.76
7/9/19,86.98
7/10/19,87.14
7/11/19,85.94
7/12/19,85.82
7/15/19,86.18
7/16/19,85.46
7/17/19,85.54
7/18/19,86.79
7/19/19,85.61
7/22/19,85.9
7/23/19,85.31
7/24/19,86.08
7/25/19,84.13
7/26/19,85.65
7/29/19,85.46
7/30/19,86.75
7/31/19,85.68
8/1/19,85.91
8/2/19,84.02
8/5/19,81.29
8/6/19,83.08
8/7/19,83.33
8/8/19,84.8
8/9/19,84.03
8/12/19,82.47
8/13/19,83.61
8/14/19,81.25
8/15/19,80.33
8/16/19,82.46
8/19/19,83.39
8/20/19,82.47
8/21/19,83.26
8/22/19,81.62
8/23/19,79.44
8/26/19,80.2
8/27/19,78.92
8/28/19,80.06
8/29/19,81.11
8/30/19,80.37
9/3/19,78.66
9/4/19,79.17
9/5/19,80.34
9/6/19,79.47
9/9/19,79.32
9/10/19,81.73
9/11/19,83.38
9/12/19,82.63
9/13/19,82.42
9/16/19,83.86
9/17/19,83.57
9/18/19,82.79
9/19/19,82.65
9/20/19,82.71
9/23/19,81.71
9/24/19,79.78
9/25/19,79.28
9/26/19,77.04
9/27/19,76.45
9/30/19,76.25
10/1/19,74.65
10/2/19,75.16
10/3/19,76.66
10/4/19,76.82
10/7/19,76.63
10/8/19,75.05
10/9/19,74.72
10/10/19,76.05
10/11/19,77.12
10/14/19,76.94
10/15/19,78.86
10/16/19,78.73
10/17/19,79.61
10/18/19,78.65
10/21/19,80.09
10/22/19,80.74
10/23/19,80.43
10/24/19,80.15
10/25/19,81.35
10/28/19,82.48
10/29/19,82.22
10/30/19,81.8
10/31/19,81.63
11/1/19,83.66
11/4/19,83.14
11/5/19,83.14
11/6/19,81.72
11/7/19,81.93
11/8/19,83.96
11/11/19,83.69
11/12/19,83.97
11/13/19,84.24
11/14/19,83.67
11/15/19,84.79
11/18/19,85.03
11/19/19,87.21
11/20/19,87.49
11/21/19,87.63
11/22/19,88.14
11/25/19,91.89
11/26/19,92.03
11/27/19,93.42
11/29/19,93.65
12/2/19,92.32
12/3/19,93.68
12/4/19,94.84
12/5/19,93.28
12/6/19,94.43
12/9/19,94.53
12/10/19,95.53
12/11/19,94.27
12/12/19,94.82
12/13/19,95.36
12/16/19,96.55
12/17/19,96.49
12/18/19,95.93
12/19/19,96.43
12/20/19,96.7
12/23/19,97.71
12/24/19,98.46
12/26/19,97.61
12/27/19,96.24
12/30/19,94.76
12/31/19,95.11
1/2/20,94.68
1/3/20,93.36
1/6/20,94.17
1/7/20,94.32
1/8/20,95.61
1/9/20,95.82
1/10/20,94.83
1/13/20,92.92
1/14/20,95.65
1/15/20,96.35
1/16/20,97.08
1/17/20,96.27
1/21/20,94.71
1/22/20,94.49
1/23/20,93.26
1/24/20,90.75
1/27/20,90.11
1/28/20,91.78
1/29/20,91.57
1/30/20,90.39
1/31/20,89.12
2/3/20,91.12
2/4/20,93.72
2/5/20,96.05
2/6/20,96.15
2/7/20,95.32
2/10/20,96.88
2/11/20,96.76
2/12/20,98.01
2/13/20,96.92
2/14/20,97.09
2/18/20,97.61
2/19/20,98.35
2/20/20,97.81
2/21/20,97.26
2/24/20,93.92
2/25/20,91.07
2/26/20,91.53
2/27/20,87.57
2/28/20,89.18
3/2/20,92.7
3/3/20,90.07
3/4/20,94.3
3/5/20,92.6
3/6/20,90.1
3/9/20,82.84
3/10/20,85.1
3/11/20,79.24
3/12/20,70.78
3/13/20,75.24
3/16/20,65.95
3/17/20,68.33
3/18/20,66.32
3/19/20,70.14
3/20/20,69.12
3/23/20,68.57
3/24/20,74.23
3/25/20,75.24
3/26/20,78.23
3/27/20,75.96
3/30/20,78.03
3/31/20,77.44
4/1/20,73.26
4/2/20,75.93
4/3/20,74.86
4/6/20,80.4
4/7/20,78.79
4/8/20,81.89
4/9/20,83.43
4/13/20,83.3
4/14/20,86.63
4/15/20,84.49
4/16/20,86.77
4/17/20,91.55
4/20/20,94.96
4/21/20,92.07
4/22/20,93.83
4/23/20,93.78
4/24/20,97.01
4/27/20,98.31
4/28/20,95.27
4/29/20,95.8
4/30/20,93.39
5/1/20,90.83
5/4/20,95.43
5/5/20,97.5
5/6/20,97.99
5/7/20,98.14
5/8/20,99.57
5/11/20,104.32
5/12/20,102.07
5/13/20,100.04
5/14/20,99.12
5/15/20,102.67
5/18/20,105.66
5/19/20,102.65
5/20/20,105.62
5/21/20,104.79
5/22/20,106.05
5/26/20,103.55
5/27/20,103.58
5/28/20,102.54
5/29/20,103.56
6/1/20,104.11
6/2/20,105.55
6/3/20,103.94
6/4/20,102.08
6/5/20,102.91
6/8/20,104.81
6/9/20,104.63
6/10/20,104.76
6/11/20,98.97
6/12/20,100.23
6/15/20,103.06
6/16/20,104.65
6/17/20,104.73
6/18/20,105.85
6/19/20,108.85
6/22/20,112.03
6/23/20,113.75
6/24/20,111.42
6/25/20,114.17
6/26/20,110.42
6/29/20,110.4
6/30/20,111.95
7/1/20,112.47
7/2/20,112.89
7/6/20,112.92
7/7/20,115.04
7/8/20,116.77
7/9/20,116.1
7/10/20,114.92
7/13/20,111.95
7/14/20,114.8
7/15/20,117.24
7/16/20,116.3
7/17/20,118.74
7/20/20,120.36
7/21/20,117.86
7/22/20,117.29
7/23/20,114.92
7/24/20,112.23
7/27/20,115.14
7/28/20,112.2
7/29/20,110.38
7/30/20,111.96
7/31/20,109.33
8/3/20,113.92
8/4/20,113.57
8/5/20,114.39
8/6/20,113.81
8/7/20,113.92
8/10/20,113.91
8/11/20,109.38
8/12/20,109.73
8/13/20,111.24
8/14/20,110.2
8/17/20,114.06
8/18/20,113.06
8/19/20,112.87
8/20/20,112.85
8/21/20,111.46
8/24/20,108.8
8/25/20,110.11
8/26/20,108.75
8/27/20,107.87
8/28/20,108.79
8/31/20,111.81
9/1/20,109.56
9/2/20,110.63
9/3/20,106.5
9/4/20,105.29
9/8/20,103.87
9/9/20,106.17
9/10/20,104.51
9/11/20,104.44
9/14/20,111.64
9/15/20,112.69
9/16/20,115.16
9/17/20,114.98
9/18/20,116.24
9/21/20,112.03
9/22/20,112.72
9/23/20,109.15
9/24/20,108.07
9/25/20,110.81
9/28/20,110.94
9/29/20,111.69
9/30/20,111.43
10/1/20,112.83
10/2/20,110.36
10/5/20,115.81
10/6/20,114.89
10/7/20,118.57
10/8/20,119.15
10/9/20,120.25
10/12/20,120.55
10/13/20,122.2
10/14/20,119.94
10/15/20,120.17
10/16/20,120.62
10/19/20,118.29
10/20/20,116.72
10/21/20,113.95
10/22/20,117.04
10/23/20,117.63
10/26/20,116.05
10/27/20,117.43
10/28/20,114.2
10/29/20,115.21
10/30/20,112.77
11/2/20,112.76
11/3/20,115.82
11/4/20,122.95
11/5/20,122.84
11/6/20,119.87
11/9/20,120.37
11/10/20,121.96
11/11/20,123.66
11/12/20,123.73
11/13/20,125.04
11/16/20,125.64
11/17/20,126.74
11/18/20,124.34
11/19/20,125.07
11/20/20,126.04
11/23/20,126.49
11/24/20,126.06
11/25/20,126.82
11/27/20,131.46
11/30/20,133.2
12/1/20,132.94
12/2/20,132.82
12/3/20,133.72
12/4/20,136.2
12/7/20,137.47
12/8/20,140.12
12/9/20,137.28
12/10/20,142.35
12/11/20,142.27
12/14/20,146.05
12/15/20,146.32
12/16/20,144.52
12/17/20,146.65
12/18/20,147.55
12/21/20,149.85
12/22/20,151.13
12/23/20,151.14
12/24/20,150.01
12/28/20,146.46
12/29/20,142.17
12/30/20,144.08
