Date,Close
1/2/18,9.77
1/3/18,9.15
1/4/18,9.22
1/5/18,9.22
1/8/18,9.52
1/9/18,10.08
1/10/18,9.82
1/11/18,9.88
1/12/18,10.16
1/16/18,11.66
1/17/18,11.91
1/18/18,12.22
1/19/18,11.27
1/22/18,11.05
1/23/18,11.1
1/24/18,11.46
1/25/18,11.58
1/26/18,11.1
1/29/18,13.84
1/30/18,14.79
1/31/18,13.54
2/1/18,13.47
2/2/18,17.31
2/5/18,37.32
2/6/18,29.98
2/7/18,27.73
2/8/18,33.46
2/9/18,29.06
2/12/18,25.61
2/13/18,24.97
2/14/18,19.26
2/15/18,19.13
2/16/18,19.46
2/20/18,20.6
2/21/18,20.02
2/22/18,18.72
2/23/18,16.49
2/26/18,15.8
2/27/18,18.59
2/28/18,19.85
3/1/18,22.47
3/2/18,19.59
3/5/18,18.73
3/6/18,18.36
3/7/18,17.76
3/8/18,16.54
3/9/18,14.64
3/12/18,15.78
3/13/18,16.35
3/14/18,17.23
3/15/18,16.59
3/16/18,15.8
3/19/18,19.02
3/20/18,18.2
3/21/18,17.86
3/22/18,23.34
3/23/18,24.87
3/26/18,21.03
3/27/18,22.5
3/28/18,22.87
3/29/18,19.97
4/2/18,23.62
4/3/18,21.1
4/4/18,20.06
4/5/18,18.94
4/6/18,21.49
4/9/18,21.77
4/10/18,20.47
4/11/18,20.24
4/12/18,18.49
4/13/18,17.41
4/16/18,16.56
4/17/18,15.25
4/18/18,15.6
4/19/18,15.96
4/20/18,16.88
4/23/18,16.34
4/24/18,18.02
4/25/18,17.84
4/26/18,16.24
4/27/18,15.41
4/30/18,15.93
5/1/18,15.49
5/2/18,15.97
5/3/18,15.9
5/4/18,14.77
5/7/18,14.75
5/8/18,14.71
5/9/18,13.42
5/10/18,13.23
5/11/18,12.65
5/14/18,12.93
5/15/18,14.63
5/16/18,13.42
5/17/18,13.43
5/18/18,13.42
5/21/18,13.08
5/22/18,13.22
5/23/18,12.58
5/24/18,12.53
5/25/18,13.22
5/29/18,17.02
5/30/18,14.94
5/31/18,15.43
6/1/18,13.46
