Date,Close
10/2/18,9.6
10/3/18,9.6
10/5/18,9.63
10/11/18,9.63
10/12/18,9.65
10/15/18,9.65
10/25/18,9.65
11/6/18,9.65
11/12/18,9.64
11/13/18,9.65
11/15/18,9.67
11/16/18,9.66
11/19/18,9.65
11/20/18,9.67
11/23/18,9.63
11/26/18,9.62
11/27/18,9.63
11/28/18,9.62
11/29/18,9.6
11/30/18,9.65
12/3/18,9.65
12/4/18,9.63
12/6/18,9.63
12/7/18,9.63
12/10/18,9.63
12/11/18,9.63
12/12/18,9.63
12/14/18,9.63
12/17/18,9.63
12/18/18,9.62
12/19/18,9.54
12/20/18,9.63
12/24/18,9.63
12/26/18,9.63
12/27/18,9.63
12/28/18,9.63
12/31/18,9.63
1/2/19,9.63
1/3/19,9.63
1/4/19,9.63
1/7/19,9.63
1/8/19,9.65
1/9/19,9.65
1/10/19,9.65
1/11/19,9.66
1/14/19,9.69
1/18/19,9.7
1/22/19,9.78
1/23/19,9.76
1/25/19,9.75
1/28/19,9.76
1/29/19,9.74
1/30/19,9.76
1/31/19,9.76
2/4/19,9.75
2/7/19,9.75
2/12/19,9.75
2/14/19,9.8
2/15/19,9.79
2/19/19,9.8
2/20/19,9.77
2/21/19,9.77
2/22/19,9.76
2/27/19,9.76
2/28/19,9.76
3/4/19,9.77
3/5/19,9.78
3/11/19,9.8
3/14/19,9.82
3/15/19,9.82
3/18/19,9.83
3/21/19,9.81
3/22/19,9.8
3/25/19,9.8
3/26/19,9.8
3/27/19,9.8
3/28/19,9.82
3/29/19,9.83
4/1/19,9.83
4/2/19,9.83
4/3/19,9.83
4/4/19,9.85
4/5/19,9.84
4/9/19,9.83
4/10/19,9.89
4/11/19,9.89
4/12/19,9.88
4/15/19,9.81
4/16/19,9.85
4/18/19,9.78
4/22/19,9.85
4/23/19,9.86
4/24/19,9.86
4/25/19,9.88
4/26/19,9.86
4/29/19,9.86
4/30/19,9.87
5/1/19,9.86
5/2/19,9.9
5/3/19,9.9
5/8/19,9.89
5/9/19,9.88
5/10/19,9.89
5/14/19,9.88
5/15/19,9.88
5/16/19,9.92
5/17/19,9.89
5/20/19,9.9
5/22/19,9.88
5/24/19,9.88
5/29/19,9.88
5/30/19,9.91
5/31/19,9.9
6/3/19,9.89
6/5/19,9.91
6/6/19,9.9
6/7/19,9.9
6/10/19,9.9
6/11/19,9.9
6/12/19,9.92
